"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"09/12/2019";"09/12/2019";"CARTE 07/12 SUPER U 35 MELESSE";"15,68";""
"09/12/2019";"09/12/2019";"VIR C.P.A.M. RENNES";"";"17,50"
"06/12/2019";"06/12/2019";"CARTE 05/12 ROUSSEAU MUSIQU RENNES";"27,10";""
"06/12/2019";"06/12/2019";"CARTE 05/12 AMZN Mktp FR amazon.fr";"50,40";""
"06/12/2019";"09/12/2019";"REM 1 CHQ BORNE RENNES ST";"";"542,61"
"04/12/2019";"05/12/2019";"ECH PRET 0154435646303";"24,45";""
"04/12/2019";"05/12/2019";"ECH PRET 0154435646301";"832,41";""
"04/12/2019";"04/12/2019";"CARTE 03/12 NATURE DECOUVERT RENNES";"30,00";""
"04/12/2019";"04/12/2019";"CARTE 03/12 NATURE DECOUVERT RENNES";"19,95";""
"04/12/2019";"04/12/2019";"CARTE 03/12 CUISINE COLOMBIA RENNES";"47,00";""
"04/12/2019";"04/12/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"1216,70"
"03/12/2019";"03/12/2019";"CARTE 02/12 AMZN Mktp FR amazon.fr";"15,05";""
"03/12/2019";"03/12/2019";"CARTE 02/12 SUPER U 35 MELESSE";"99,47";""
"02/12/2019";"02/12/2019";"CARTE 01/12 SUPER U 35 MELESSE";"72,46";""
"02/12/2019";"02/12/2019";"CARTE 30/11 EVEIL&JEUX RENNES";"41,64";""
"02/12/2019";"02/12/2019";"CARTE 30/11 LUSH RENNES RENNES350032/";"38,85";""
"02/12/2019";"02/12/2019";"CARTE 30/11 CARREFOUR CITY RENNES";"10,72";""
"02/12/2019";"02/12/2019";"CARTE 30/11 SUPER U 35 MELESSE";"29,27";""
"02/12/2019";"02/12/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"3144,89"
"30/11/2019";"30/11/2019";"CARTE 29/11 NATURE DECOUVERT RENNES";"53,50";""
"30/11/2019";"30/11/2019";"CARTE 29/11 NATURE DECOUVERT RENNES";"40,00";""
"29/11/2019";"29/11/2019";"PRLV Orange";"72,99";""
"29/11/2019";"29/11/2019";"CARTE 28/11 LE LOUP RENNES";"65,40";""
"29/11/2019";"29/11/2019";"CARTE 27/11 FNAC DIRECT IVRY SUR SEINE";"239,93";""
"29/11/2019";"29/11/2019";"CARTE 27/11 FNAC DIRECT IVRY SUR SEINE";"99,89";""
"29/11/2019";"29/11/2019";"CARTE 27/11 FNAC DIRECT IVRY SUR SEINE";"85,97";""
"29/11/2019";"29/11/2019";"CARTE 27/11 FNAC DIRECT IVRY SUR SEINE";"79,98";""
"27/11/2019";"27/11/2019";"CHQ 1285162";"179,24";""
"27/11/2019";"27/11/2019";"PRLV EDF clients particuliers";"26,13";""
"27/11/2019";"27/11/2019";"CARTE 26/11 PIZZA TEMPO RENNES";"16,90";""
"25/11/2019";"25/11/2019";"CARTE 23/11 CARREFOUR CITY RENNES";"37,18";""
"22/11/2019";"22/11/2019";"CARTE 21/11 LE LOFT BY VILL RENNES";"227,50";""
"21/11/2019";"21/11/2019";"CARTE 20/11 ORANGE BLEUE RENNES";"438,80";""
"20/11/2019";"20/11/2019";"CARTE 19/11 CARREFOUR CITY RENNES";"1,65";""
"19/11/2019";"19/11/2019";"CARTE 15/11 COFIROUTE 28630";"5,90";""
"19/11/2019";"19/11/2019";"CARTE 15/11 COFIROUTE 28630";"19,70";""
"19/11/2019";"19/11/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"94,07"
"18/11/2019";"18/11/2019";"CARTE 16/11 IKEA PACE 177-HFB/";"25,76";""
"18/11/2019";"18/11/2019";"CARTE 16/11 SUPER U 35 MELESSE";"21,00";""
"17/11/2019";"17/11/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"15/11/2019";"15/11/2019";"CARTE 14/11 COFIROUTE 92506";"25,60";""
"15/11/2019";"15/11/2019";"CARTE 14/11 SUPER U 41 MER";"44,21";""
"13/11/2019";"13/11/2019";"CARTE 12/11 SUPER U 35 MELESSE";"74,99";""
"11/11/2019";"11/11/2019";"PRLV SPL EAU DU BASSIN RENNAIS";"44,63";""
"11/11/2019";"11/11/2019";"CARTE 09/11 GALERIES LAFAYET CAEN";"29,99";""
"08/11/2019";"08/11/2019";"F COTISATION EUROCOMPTE";"9,57";""
"08/11/2019";"08/11/2019";"CARTE 07/11 HOTEL IBIS GENTILLY";"5,00";""
"08/11/2019";"08/11/2019";"CARTE 07/11 black mad PARIS 11";"11,40";""
"08/11/2019";"08/11/2019";"CARTE 07/11 RATP PARIS";"16,90";""
"07/11/2019";"07/11/2019";"PRLV DIRECTION GENERALE DES FINA";"1006,00";""
"06/11/2019";"06/11/2019";"CARTE 05/11 IKEA WEB VAD LISSES";"1161,00";""
"04/11/2019";"05/11/2019";"ECH PRET 0154435646303";"24,45";""
"04/11/2019";"05/11/2019";"ECH PRET 0154435646301";"832,41";""
"05/11/2019";"05/11/2019";"CARTE 04/11 SUPER U 35 MELESSE";"12,89";""
"05/11/2019";"05/11/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"154,59"
"04/11/2019";"04/11/2019";"CARTE 02/11 DECATHLON BETTON";"8,00";""
"04/11/2019";"04/11/2019";"CARTE 02/11 SUPER U 35 RENNES";"3,12";""
"31/10/2019";"31/10/2019";"CARTE 30/10 CINQUECENTO RENNES";"30,48";""
"30/10/2019";"30/10/2019";"CARTE 29/10 SUPER U 35 RENNES";"16,25";""
"30/10/2019";"30/10/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"2949,22"
"29/10/2019";"29/10/2019";"CARTE 28/10 ALINEA 16 LA MEZIERE";"72,00";""
"28/10/2019";"28/10/2019";"PRLV Orange";"72,99";""
"28/10/2019";"28/10/2019";"PRLV EDF clients particuliers";"26,13";""
"28/10/2019";"28/10/2019";"CARTE 27/10 DEVRED 147 GRANVILLE";"17,99";""
"28/10/2019";"28/10/2019";"CARTE 27/10 RESTAU DE LA MER GRANVILLE";"48,00";""
"28/10/2019";"28/10/2019";"CARTE 26/10 AUX PETITS OIGNO GRANVILLE";"40,70";""
"26/10/2019";"26/10/2019";"CARTE 25/10 SUPER U 35 MELESSE";"70,54";""
"25/10/2019";"25/10/2019";"CARTE 24/10 AMZN Mktp FR amazon.fr";"72,07";""
"25/10/2019";"25/10/2019";"CARTE 24/10 CINQUECENTO RENNES";"21,35";""
"24/10/2019";"24/10/2019";"CHQ 1285159";"407,00";""
"24/10/2019";"24/10/2019";"CARTE 23/10 PETITE NATURE RENNES";"22,00";""
"23/10/2019";"23/10/2019";"PRLV Engie";"62,91";""
"18/10/2019";"18/10/2019";"CARTE 17/10 FORUM DU LIVRE 0 RENNES";"39,00";""
"18/10/2019";"18/10/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"746,96"
"17/10/2019";"17/10/2019";"CHQ 1285160";"30,00";""
"17/10/2019";"17/10/2019";"CARTE 16/10 AMARY COIFFURE RENNES";"20,00";""
"17/10/2019";"17/10/2019";"CARTE 16/10 QUICK RENNES RENNES";"17,70";""
"17/10/2019";"17/10/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"16/10/2019";"16/10/2019";"CARTE 15/10 AMZN Mktp FR amazon.fr";"3,89";""
"15/10/2019";"15/10/2019";"CARTE 14/10 AMZN Mktp FR amazon.fr";"3,97";""
"14/10/2019";"14/10/2019";"CARTE 12/10 CARREFOUR CITY RENNES";"14,56";""
"14/10/2019";"13/10/2019";"CARTE 12/10 YAK RENNES";"60,30";""
"12/10/2019";"12/10/2019";"CARTE 11/10 LE SABLIER RENNES";"30,00";""
"12/10/2019";"12/10/2019";"CARTE 11/10 LE SABLIER RENNES";"21,00";""
"11/10/2019";"11/10/2019";"CARTE 10/10 LUCKY STAR RENNES";"122,00";""
"11/10/2019";"11/10/2019";"CARTE 09/10 LE BATEAU IVRE RENNES";"10,00";""
"11/10/2019";"11/10/2019";"VIR SIACI SAINT HONORE";"";"9,00"
"10/10/2019";"10/10/2019";"CARTE 09/10 LE KHALIFA RENNES";"20,75";""
"10/10/2019";"10/10/2019";"ANN CARTE AMZN Mktp US Amzn.com/bill";"";"25,57"
"10/10/2019";"09/10/2019";"F COTISATION EUROCOMPTE";"9,57";""
"08/10/2019";"08/10/2019";"CHQ 1285161";"339,96";""
"08/10/2019";"08/10/2019";"CARTE 07/10 AIRBNB * H 318-488-40 148,66 EUR";"148,66";""
"08/10/2019";"08/10/2019";"CARTE 07/10 SUPER U 35 MELESSE";"8,23";""
"08/10/2019";"08/10/2019";"VIR C.P.A.M. RENNES";"";"16,00"
"06/10/2019";"06/10/2019";"RET DAB 061019 MELESSE 2";"20,00";""
"07/10/2019";"07/10/2019";"CARTE 05/10 SUPER U 35 RENNES";"27,84";""
"07/10/2019";"07/10/2019";"CARTE 04/10 CARREFOUR CITY RENNES";"9,38";""
"04/10/2019";"05/10/2019";"ECH PRET 0154435646303";"24,45";""
"04/10/2019";"05/10/2019";"ECH PRET 0154435646301";"832,41";""
"04/10/2019";"04/10/2019";"CARTE 03/10 AMZN Mktp FR amazon.fr";"19,49";""
"04/10/2019";"04/10/2019";"CARTE 03/10 CINQUECENTO RENNES";"20,10";""
"03/10/2019";"03/10/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"1454,17"
"01/10/2019";"01/10/2019";"VIR vers PLAN EPARGNE LOGEMENT";"6000,00";""
"02/10/2019";"02/10/2019";"CARTE 01/10 CEDAR'S ROLL RENNES";"9,60";""
"02/10/2019";"02/10/2019";"CARTE 01/10 CARREFOUR CITY RENNES";"12,38";""
"01/10/2019";"01/10/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"2996,02"
"30/09/2019";"30/09/2019";"PRLV Orange";"72,99";""
"30/09/2019";"30/09/2019";"CARTE 29/09 CARREFOUR CITY RENNES";"4,28";""
"30/09/2019";"30/09/2019";"CARTE 28/09 INDIAN EXPRESS RENNES";"42,90";""
"30/09/2019";"30/09/2019";"CARTE 28/09 OLIVIERS & CO RENNES";"42,20";""
"30/09/2019";"30/09/2019";"CARTE 28/09 ENDURANCE SHOP RENNES";"136,00";""
"30/09/2019";"30/09/2019";"CARTE 27/09 TATI MAG RENNES";"8,97";""
"27/09/2019";"27/09/2019";"PRLV EDF clients particuliers";"26,13";""
"27/09/2019";"27/09/2019";"CARTE 26/09 BLACK BEAR RENNES";"11,00";""
"27/09/2019";"27/09/2019";"CARTE 26/09 CARREFOUR CITY RENNES";"10,27";""
"27/09/2019";"27/09/2019";"CARTE 26/09 CINQUECENTO RENNES";"28,20";""
"26/09/2019";"26/09/2019";"CARTE 25/09 SUPER U 35 RENNES";"21,77";""
"24/09/2019";"24/09/2019";"CARTE 23/09 L'AMBASSADE RENNES";"59,60";""
"23/09/2019";"23/09/2019";"CARTE 22/09 SUPER U 35 MELESSE";"71,69";""
"23/09/2019";"23/09/2019";"CARTE 21/09 EVEIL&JEUX RENNES";"9,95";""
"23/09/2019";"23/09/2019";"CARTE 20/09 CARREFOUR CITY RENNES";"11,09";""
"23/09/2019";"23/09/2019";"CARTE 20/09 CARREFOUR CITY RENNES";"21,12";""
"23/09/2019";"22/09/2019";"CARTE 21/09 LA CAVE DU SOMM RENNES";"18,00";""
"20/09/2019";"20/09/2019";"CARTE 19/09 LE LOFT BY VILL RENNES";"84,80";""
"18/09/2019";"18/09/2019";"CARTE 17/09 CARREFOUR CITY RENNES";"9,72";""
"18/09/2019";"18/09/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"1717,68"
"17/09/2019";"17/09/2019";"CHQ 1285158";"250,00";""
"15/09/2019";"15/09/2019";"RET DAB 15/09/19 06618 RENNES CR";"40,00";""
"17/09/2019";"17/09/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"16/09/2019";"16/09/2019";"CARTE 14/09 SCARABEEBIOCOOP RENNES";"4,56";""
"16/09/2019";"16/09/2019";"CARTE 14/09 SUPER U 35 RENNES";"30,64";""
"14/09/2019";"14/09/2019";"CARTE 13/09 LE PETIT HANOI RENNES";"62,00";""
"13/09/2019";"13/09/2019";"CARTE 12/09 CARREFOUR CITY RENNES";"5,68";""
"12/09/2019";"12/09/2019";"CARTE 11/09 CARREFOUR CITY RENNES";"14,32";""
"11/09/2019";"11/09/2019";"CARTE 10/09 CAFE CORTINA RENNES";"12,80";""
